Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,resistance label,Date,latitude,longitude
1771,104519,Matty,,"Nevis, port unspecified",Hampton,4,"Mackie, Rich",,1771-01-01,17.2,-62.58333
1771,104520,Donald,,"Tobago, port unspecified",Hampton,8,"Roberts, Thomas",,1771-01-01,11.25,-60.66667
1771,104521,Philadelphia,,"Barbados, place unspecified",Hampton,8,"Riding, John",,1771-01-01,#N/A,#N/A
1771,104522,Liberty,,"Barbados, place unspecified",Hampton,1,"Cowper, John",,1771-01-01,#N/A,#N/A
1771,104523,Two Sisters,,"Barbados, place unspecified",Hampton,2,"Maxwell, James",,1771-01-01,#N/A,#N/A
1771,104524,Four Sisters,,"St. Vincent, port unspecified","Virginia, port unspecified",10,"Brown, Bristow",,1771-01-01,13.13333,-61.21667
1771,104525,Douglass,,"St. Kitts, port unspecified",Hampton,30,"Bryson, Peter",,1771-01-01,17.3,-62.71667
1771,104526,Hansford,,"Antigua, place unspecified",Hampton,3,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104527,Wray Gally,,"Barbados, place unspecified",Hampton,8,"Davis, David",,1771-01-01,#N/A,#N/A
1771,104528,Young Matthew,,"Antigua, place unspecified",Hampton,5,"Cooper, Abram",,1771-01-01,#N/A,#N/A
1771,104529,Alice,,"Barbados, place unspecified",Hampton,2,"Carlton, George",,1771-01-01,#N/A,#N/A
1771,104530,Patty,,St. Maarten,Hampton,2,"Barrott, John",,1771-01-01,18.1,-63.03333
1771,104713,Katy,,Bermuda,"Virginia, port unspecified",5,"Ryburn, Art",,1771-01-01,32.29417,-64.78389
1771,107974,James,,"Grenada, place unspecified",Hampton,29,"Rock, George",,1771-01-01,#N/A,#N/A
1771,107975,Polly,,Bermuda,Rappahannock,5,"Parker, John",,1771-01-01,32.29417,-64.78389
1771,107976,Nally,,St. Maarten,Hampton,2,"Basset, J.",,1771-01-01,18.1,-63.03333
1772,102276,Dunmore,,"Antigua, place unspecified","Virginia, port unspecified",,"Marnex, John",,1772-01-01,#N/A,#N/A
1772,102296,Hansford,,"Antigua, place unspecified","Virginia, port unspecified",,"Wilson, Christopher",,1772-01-01,#N/A,#N/A
1772,102297,Assistance,,"Antigua, place unspecified","Virginia, port unspecified",,"Loudon, David",,1772-01-01,#N/A,#N/A
1772,102299,Black Prince,,"Antigua, place unspecified","Virginia, port unspecified",,"Elliott, Robert",,1772-01-01,#N/A,#N/A
1772,102302,Jenet,,"Antigua, place unspecified","Virginia, port unspecified",,"Poole, William",,1772-01-01,#N/A,#N/A
1772,102303,Nosborn,,"Antigua, place unspecified","Virginia, port unspecified",,"Maxwell, Robert",,1772-01-01,#N/A,#N/A
1772,102304,William,,"Antigua, place unspecified","Virginia, port unspecified",,"Keeble, George",,1772-01-01,#N/A,#N/A
1772,102314,Smithfield,,"Antigua, place unspecified",Hampton,12,"Cochrane, Alexander",,1772-01-01,#N/A,#N/A
1772,103886,Peggy,,"Grenada, place unspecified",Hampton,4,"Calvert, John",,1772-01-01,#N/A,#N/A
1772,103887,Fanny,,"Grenada, place unspecified",Hampton,21,"Westcott, William",,1772-01-01,#N/A,#N/A
1772,103888,Smithfield,,"St. Vincent, port unspecified",Hampton,20,"Cochrane, Alexander",,1772-01-01,13.13333,-61.21667
1772,103890,John and Willis,,"Tobago, port unspecified",Hampton,8,"Wilson, Samuel",,1772-01-01,11.25,-60.66667
1772,104074,Fredericksburg,,"Grenada, place unspecified",Rappahannock,3,"Sinclair, John",,1772-01-01,#N/A,#N/A
1772,104531,Liberty,,"Barbados, place unspecified",Hampton,1,"Cowper, John",,1772-01-01,#N/A,#N/A
1772,104532,Nancy,,"Antigua, place unspecified",Hampton,8,"Irwin, Thomas",,1772-01-01,#N/A,#N/A
1772,104534,Matty,,"Dominica, place unspecified",Hampton,2,"Latimer, Edward",,1772-01-01,#N/A,#N/A
1772,104535,Fanny,,"Grenada, place unspecified",Hampton,7,"Westcott, William",,1772-01-01,#N/A,#N/A
1772,104536,Black Prince,,"Grenada, place unspecified",Hampton,7,"Gray, Walter",,1772-01-01,#N/A,#N/A
1772,104537,Charlotte,,"Barbados, place unspecified",Hampton,15,"Baily, Wilson",,1772-01-01,#N/A,#N/A
1772,104538,Commerce,,"Antigua, place unspecified",Hampton,22,"Wood, John",,1772-01-01,#N/A,#N/A
1772,104540,Porter,,"St. Vincent, port unspecified",Hampton,3,"Kelsick, Rich",,1772-01-01,13.13333,-61.21667
1772,104541,Unity,,"Grenada, place unspecified",Hampton,5,"Knight, John",,1772-01-01,#N/A,#N/A
1772,104542,Liberty,,"Barbados, place unspecified",Hampton,27,"Rysam [Johnson?], William",,1772-01-01,#N/A,#N/A
1772,104543,Thomas,,"Antigua, place unspecified",Hampton,1,"Buckle [Brickle?], Wright",,1772-01-01,#N/A,#N/A
1772,104544,Little Molly,,"Antigua, place unspecified",Hampton,4,"Burrows, Thomas",,1772-01-01,#N/A,#N/A
1772,104567,Betsey,,"Barbados, place unspecified",Hampton,4,"Edey, Solomon",,1772-01-01,#N/A,#N/A
1772,104765,Success,,Bermuda,Hampton,20,"Williams, John",,1772-01-01,32.29417,-64.78389
1772,107977,Hansford,,"Antigua, place unspecified","Virginia, port unspecified",7,"Wilson, Christopher",,1772-01-01,#N/A,#N/A
1773,102309,Joseph and Betsey,,"Nevis, port unspecified","Virginia, port unspecified",,"Pray, Job",,1773-01-01,17.2,-62.58333
1773,103891,Hope,,"Tobago, port unspecified",Hampton,4,"Campbell, Duncan",,1773-01-01,11.25,-60.66667
1773,104766,Francis,,Bermuda,Hampton,1,"Outerbridge, Joseph",,1773-01-01,32.29417,-64.78389
1774,102365,Mary,,"Antigua, place unspecified","Virginia, port unspecified",,"Burch, D.",,1774-01-01,#N/A,#N/A
1774,103892,Live Oak,,"Grenada, place unspecified","Virginia, port unspecified",5,"Eve, John",,1774-01-01,#N/A,#N/A
1774,103893,Hope,,"Tobago, port unspecified","Virginia, port unspecified",4,"Campbell, Duncan",,1774-01-01,11.25,-60.66667
1774,104545,Grace and Sally,,"Antigua, place unspecified",Hampton,1,"Wilson, Chris",,1774-01-01,#N/A,#N/A
1774,104546,Phoenix,,"Antigua, place unspecified","Virginia, port unspecified",30,"Westcott, William",,1774-01-01,#N/A,#N/A
1775,100825,Fanny,,"Jamaica, place unspecified","Virginia, port unspecified",13,"Watson, William",,1775-01-01,#N/A,#N/A
